,index,number of fov,result1,time1,result2 with MC,time2,error
0,99,16,0.0008120761781177921,0.5460770130157471,0.003,0.009166240692138672,-0.0021879238218822077
1,69,58,0.1038176832431772,10.192086935043335,0.104,0.008343935012817383,-0.00018231675682280069
2,32,61,0.11474806798268244,17.784271240234375,0.112,0.009843826293945312,0.0027480679826824422
3,96,61,0.11397936279436871,10.755107879638672,0.115,0.009461164474487305,-0.0010206372056312946
4,91,89,0.15480105359898433,22.157149076461792,0.159,0.008185148239135742,-0.004198946401015674
5,19,91,0.10322977427285852,19.14786386489868,0.094,0.008550882339477539,0.009229774272858524
6,17,93,0.14516534672353978,21.0885968208313,0.144,0.009602785110473633,0.0011653467235397952
7,33,97,0.15726139533207562,26.36513113975525,0.168,0.009382247924804688,-0.010738604667924395
8,10,105,0.1525943663384,26.266228914260864,0.155,0.014199972152709961,-0.0024056336615999874
9,26,108,0.14387814879599636,30.640924215316772,0.147,0.011767864227294922,-0.0031218512040036284
10,31,109,0.1332568956129777,30.654539108276367,0.135,0.011748075485229492,-0.0017431043870222984
11,56,112,0.14014715492494753,34.07346510887146,0.146,0.01155996322631836,-0.00585284507505246
12,68,121,0.14572742193824328,53.07762408256531,0.141,0.008067131042480469,0.004727421938243298
13,86,126,0.090837985081893,32.91189479827881,0.095,0.012150049209594727,-0.004162014918106999
14,16,136,0.1949760344628931,49.8589129447937,0.206,0.016200780868530273,-0.011023965537106883
15,25,140,0.1539938026754479,50.20338678359985,0.156,0.020615100860595703,-0.0020061973245520948
16,20,146,0.1863036048127791,58.8879189491272,0.192,0.020205020904541016,-0.0056963951872208984
17,24,161,0.27168819461551147,66.61059784889221,0.276,0.013810873031616211,-0.004311805384488554
18,88,171,0.19527315933449055,90.32439589500427,0.193,0.02017807960510254,0.002273159334490543
19,41,181,0.25909309359861166,84.36713099479675,0.278,0.01843714714050293,-0.018906906401388368
20,4,188,0.21845360177145876,110.79322290420532,0.227,0.02426600456237793,-0.008546398228541252
21,52,188,0.24570379602272138,72.7325451374054,0.234,0.02420210838317871,0.011703796022721369
22,13,200,0.3021835659897741,101.84839105606079,0.299,0.020583152770996094,0.0031835659897740953
23,54,200,0.28097420746020263,78.2428891658783,0.293,0.016131877899169922,-0.012025792539797353
24,50,209,0.23389688086400234,177.13226580619812,0.236,0.023769855499267578,-0.0021031191359976442
25,47,215,0.23010610679867965,166.99455499649048,0.236,0.02687382698059082,-0.005893893201320333
26,76,217,0.2813531110009411,328.72050499916077,0.288,0.017984867095947266,-0.006646888999058853
27,84,226,0.21791650459817843,211.63317584991455,0.217,0.023211002349853516,0.0009165045981784359
28,82,231,0.30183622074735317,189.15675806999207,0.297,0.013137340545654297,0.0048362207473531815
29,87,238,0.31119527495935423,183.77061796188354,0.308,0.02382802963256836,0.003195274959354233
30,36,240,0.32513738953968885,254.8140640258789,0.324,0.030740976333618164,0.0011373895396888378
31,23,241,0.3565289191633591,165.71755695343018,0.342,0.022073984146118164,0.014528919163359078
32,43,248,0.2897471655072564,229.55583095550537,0.304,0.02026081085205078,-0.014252834492743616
33,83,251,0.28961382984061623,187.0972352027893,0.283,0.02399277687072754,0.006613829840616259
34,28,252,0.3211513243278301,205.1472988128662,0.325,0.01699995994567871,-0.003848675672169899
35,71,252,0.345461390595943,287.3911941051483,0.345,0.032158851623535156,0.0004613905959430231
36,38,255,0.31920647526069934,253.65789198875427,0.332,0.021530866622924805,-0.012793524739300677
37,75,257,0.28971178506239176,267.1547751426697,0.291,0.022680997848510742,-0.001288214937608223
38,95,259,0.31820409384830317,326.23909401893616,0.313,0.028934955596923828,0.005204093848303171
39,77,263,0.31829459001381266,350.1196949481964,0.324,0.016447067260742188,-0.005705409986187349
40,58,267,0.3443170005482358,482.79197001457214,0.354,0.0173189640045166,-0.009682999451764207
41,14,273,0.32848567256264233,338.24625277519226,0.331,0.02433919906616211,-0.0025143274373576885
42,18,273,0.34608977643032257,2394.7760660648346,0.338,0.029835939407348633,0.008089776430322548
43,98,275,0.3729554892751096,640.3741581439972,0.388,0.02093195915222168,-0.015044510724890436
44,74,277,0.31294668093210176,590.4080119132996,0.314,0.02185225486755371,-0.0010533190678982396
45,5,278,0.38538785870021025,2725.3670427799225,0.382,0.0214540958404541,0.0033878587002102445
46,80,279,0.3849772631277068,254.6081509590149,0.373,0.019868135452270508,0.011977263127706805
47,35,283,0.3414660815850488,278.2080731391907,0.343,0.028268098831176758,-0.0015339184149512075
48,48,285,0.3546832971803494,537.3577799797058,0.353,0.019788026809692383,0.00168329718034943
49,73,285,0.2890744356556148,512.7584540843964,0.267,0.02480483055114746,0.022074435655614788
50,64,286,0.3154995180084596,5165.885347127914,0.302,0.02216196060180664,0.01349951800845961
51,62,289,0.31161515546734386,244.99507021903992,0.293,0.020206212997436523,0.01861515546734388
52,2,291,0.35012541331345537,319.10336804389954,0.318,0.02550506591796875,0.032125413313455364
53,8,291,0.3177996455872072,422.09945797920227,0.34,0.024053096771240234,-0.022200354412792833
54,27,296,0.3930517192767635,427.72592282295227,0.396,0.019567251205444336,-0.002948280723236496
55,85,296,0.38075759517502145,4116.867822170258,0.407,0.027051925659179688,-0.026242404824978527
56,65,298,0.3453807047021037,370.9446499347687,0.335,0.0195770263671875,0.010380704702103671
57,97,299,0.35673506769604835,335.752259016037,0.348,0.02161097526550293,0.00873506769604837
58,53,305,0.32079512288666073,483.35640001296997,0.314,0.03426003456115723,0.006795122886660732
59,94,305,0.35967520232379807,400.63409185409546,0.369,0.025938987731933594,-0.009324797676201924
60,70,306,0.3251897822950078,4479.509006738663,0.345,0.016225099563598633,-0.019810217704992195
61,60,310,0.4033527715997628,323.79738211631775,0.413,0.025942087173461914,-0.009647228400237184
62,51,311,0.37603483268024196,547.5638289451599,0.379,0.020926952362060547,-0.002965167319758044
63,7,313,0.37271598925795124,376.44442486763,0.364,0.028017282485961914,0.008715989257951251
64,89,313,0.4648183198858234,4414.86088180542,0.397,0.025527000427246094,0.06781831988582337
65,15,322,0.3182585640799546,364.1446099281311,0.328,0.021831274032592773,-0.009741435920045394
66,55,326,0.40514627569486594,423.1734848022461,0.393,0.01998114585876465,0.012146275694865927
67,6,341,0.3689955804226026,612.3012890815735,0.385,0.029449939727783203,-0.0160044195773974
68,92,345,0.3534439892858692,1013.2691860198975,0.359,0.023357868194580078,-0.00555601071413081
69,49,351,0.3633917449580427,442.79685521125793,0.373,0.023211956024169922,-0.009608255041957281
70,72,353,0.4145374306673692,473.9464612007141,0.404,0.03333568572998047,0.010537430667369174
71,63,355,0.4184411827981366,358.559396982193,0.403,0.023988008499145508,0.015441182798136555
72,39,360,0.3910645302720815,350.68363213539124,0.399,0.02704000473022461,-0.007935469727918532
73,21,361,0.4047525372704096,463.8138270378113,0.411,0.0197908878326416,-0.0062474627295903695
74,3,365,0.4465899346819122,552.6211657524109,0.442,0.027538776397705078,0.004589934681912211
75,79,366,0.3855247258555667,356.81092405319214,0.385,0.028254985809326172,0.0005247258555666767
76,30,372,0.3867609061092527,596.8007068634033,0.384,0.028584003448486328,0.00276090610925267
77,90,373,0.3122966939777889,455.71183013916016,0.301,0.027979135513305664,0.01129669397778893
78,22,383,0.43213491560563105,386.31174898147583,0.443,0.024692058563232422,-0.010865084394368951
79,37,386,0.3653290147514991,467.75792384147644,0.366,0.0258638858795166,-0.0006709852485008994
80,59,388,0.37284702243008316,438.58753085136414,0.369,0.03500699996948242,0.003847022430083169
81,57,405,0.44181030362974505,420.90493392944336,0.425,0.023340940475463867,0.01681030362974506
82,29,407,0.4079924502752289,448.0083930492401,0.374,0.03346729278564453,0.0339924502752289
83,9,410,0.4306573781683403,597.9727110862732,0.424,0.024657011032104492,0.006657378168340333
84,81,412,0.31342251061162535,458.76202487945557,0.296,0.029953956604003906,0.017422510611625364
85,42,423,0.45652676183344165,470.6174330711365,0.459,0.030129194259643555,-0.002473238166558367
86,46,440,0.33857045079607645,409.91463708877563,0.332,0.0312502384185791,0.0065704507960764325
87,78,441,0.373137599683696,480.9661159515381,0.367,0.025572776794433594,0.006137599683695982
88,12,453,0.4696634989288963,590.7696828842163,0.468,0.02896404266357422,0.0016634989288962787
89,66,456,0.46388415257486093,525.9421079158783,0.461,0.02754998207092285,0.00288415257486091
90,0,466,0.4161496597102449,556.2316339015961,0.395,0.044924259185791016,0.021149659710244906
91,45,532,0.40028863302150614,713.1109991073608,0.378,0.02774786949157715,0.022288633021506132
92,40,559,0.40506746636324464,756.3730690479279,0.419,0.038289785385131836,-0.01393253363675534
93,1,1080,0.48456658476621167,1477.526715040207,0.52,0.0486598014831543,-0.035433415233788346
94,11,1307,0.6137401152638495,2026.7297022342682,0.622,0.0715949535369873,-0.008259884736150469
95,93,1683,0.6687571141670152,2498.7482028007507,0.665,0.07899689674377441,0.0037571141670151853
96,34,1999,0.7246794425142546,6653.7974898815155,0.704,0.09133625030517578,0.020679442514254687
97,44,2031,0.6859379292738217,3399.3167490959167,0.678,0.09854912757873535,0.007937929273821642
98,67,2072,0.6879711128763778,2753.5845708847046,0.69,0.07582592964172363,-0.0020288871236221473
99,61,2536,0.7502591523039646,4325.377890110016,0.77,0.1144568920135498,-0.019740847696035457
