alg1_result, alg2_result, alg3_result, alg1_time, alg2_time, alg3_time
0.0010, 0.0000, 0.0000, 26045.0000, 24593.0000, 26747.0000
0.7520, 0.2317, 0.0560, 189575.0000, 57297.0000, 192120.0000
0.9790, 0.5298, 0.1307, 354896.0000, 145787.0000, 720613.0000
0.1890, 0.0221, 0.0069, 144227.0000, 41833.0000, 107031.0000
0.8580, 0.2587, 0.0713, 357811.0000, 109886.0000, 378031.0000
0.1350, 0.0269, 0.0044, 56548.0000, 26669.0000, 43896.0000
0.2570, 0.0519, 0.0135, 140651.0000, 43700.0000, 101753.0000
0.9410, 0.4394, 0.0995, 767395.0000, 304769.0000, 1430868.0000
0.5260, 0.1462, 0.0315, 232260.0000, 56986.0000, 174790.0000
0.2300, 0.0942, 0.0106, 208604.0000, 46250.0000, 138365.0000
0.0060, 0.0019, 0.0004, 38012.0000, 25885.0000, 32756.0000
0.6740, 0.2192, 0.0512, 486229.0000, 93245.0000, 381664.0000
0.8080, 0.2356, 0.0593, 527322.0000, 163604.0000, 719227.0000
0.3780, 0.0760, 0.0251, 230674.0000, 56898.0000, 181749.0000
0.0470, 0.0077, 0.0012, 45013.0000, 27616.0000, 40150.0000
0.1040, 0.0269, 0.0027, 136742.0000, 37362.0000, 92218.0000
0.3340, 0.0769, 0.0211, 182869.0000, 46786.0000, 142712.0000
0.6010, 0.1558, 0.0450, 1078045.0000, 206439.0000, 906587.0000
0.7240, 0.1481, 0.0363, 211800.0000, 61203.0000, 211724.0000
0.4750, 0.0875, 0.0240, 140027.0000, 39898.0000, 104448.0000
0.8430, 0.2538, 0.0600, 377223.0000, 100788.0000, 413174.0000
0.3020, 0.0481, 0.0111, 327928.0000, 64756.0000, 234330.0000
0.9370, 0.4644, 0.0908, 1692092.0000, 500481.0000, 2729954.0000
0.9050, 0.2788, 0.0686, 1464695.0000, 265335.0000, 1172954.0000
0.2540, 0.0548, 0.0159, 138951.0000, 42181.0000, 103897.0000
0.9680, 0.4462, 0.0977, 580913.0000, 271801.0000, 1331328.0000
0.0520, 0.0096, 0.0010, 39625.0000, 25191.0000, 33624.0000
0.6710, 0.1106, 0.0322, 108862.0000, 42366.0000, 93500.0000
0.3340, 0.0673, 0.0163, 146760.0000, 42579.0000, 106632.0000
0.7900, 0.2423, 0.0583, 316709.0000, 106434.0000, 456336.0000
0.3580, 0.0577, 0.0139, 101586.0000, 32688.0000, 74836.0000
0.6630, 0.1269, 0.0390, 221686.0000, 57169.0000, 167383.0000
0.3390, 0.0769, 0.0169, 783460.0000, 158487.0000, 641779.0000
0.4990, 0.1904, 0.0328, 267237.0000, 66519.0000, 233674.0000
0.3850, 0.0894, 0.0206, 200948.0000, 48799.0000, 138838.0000
0.8180, 0.2779, 0.0673, 658289.0000, 180665.0000, 802106.0000
0.5700, 0.2663, 0.0562, 1555559.0000, 250363.0000, 1253034.0000
0.9760, 0.3808, 0.0960, 737517.0000, 271132.0000, 1431911.0000
0.0360, 0.0048, 0.0019, 49138.0000, 30221.0000, 43343.0000
0.0190, 0.0019, 0.0006, 38980.0000, 31643.0000, 36513.0000
0.0740, 0.0096, 0.0022, 51258.0000, 30263.0000, 43987.0000
0.0830, 0.0135, 0.0037, 38499.0000, 24257.0000, 32708.0000
0.9300, 0.4721, 0.0939, 2549438.0000, 615517.0000, 3445577.0000
0.1590, 0.0231, 0.0045, 66652.0000, 34145.0000, 55226.0000
0.7410, 0.2625, 0.0577, 710569.0000, 175743.0000, 861434.0000
0.0390, 0.0058, 0.0025, 38439.0000, 23842.0000, 33637.0000
0.3540, 0.0606, 0.0154, 194605.0000, 45442.0000, 133494.0000
0.1820, 0.0298, 0.0113, 77501.0000, 33977.0000, 68139.0000
0.0360, 0.0019, 0.0023, 175162.0000, 45097.0000, 131643.0000
0.3890, 0.0875, 0.0197, 1204871.0000, 202326.0000, 831346.0000
0.0860, 0.0317, 0.0035, 469364.0000, 81462.0000, 273786.0000
0.0730, 0.0106, 0.0050, 123523.0000, 38533.0000, 86581.0000
0.3660, 0.0798, 0.0189, 208697.0000, 58867.0000, 172451.0000
0.1190, 0.0125, 0.0030, 210252.0000, 48109.0000, 139244.0000
0.1370, 0.0250, 0.0106, 363808.0000, 73010.0000, 247371.0000
0.2850, 0.0875, 0.0118, 222116.0000, 48339.0000, 147744.0000
0.3080, 0.0587, 0.0192, 664158.0000, 114931.0000, 532640.0000
0.2230, 0.0356, 0.0091, 80281.0000, 29962.0000, 61701.0000
0.5730, 0.2500, 0.0468, 645777.0000, 137098.0000, 556696.0000
0.9020, 0.2394, 0.0655, 323167.0000, 94341.0000, 362686.0000
0.0360, 0.0029, 0.0007, 40263.0000, 26677.0000, 33644.0000
0.1270, 0.0250, 0.0059, 105123.0000, 35589.0000, 80581.0000
0.9340, 0.3885, 0.0943, 422165.0000, 234641.0000, 1058594.0000
0.0230, 0.0048, 0.0006, 83397.0000, 31555.0000, 66524.0000
0.0410, 0.0029, 0.0013, 30403.0000, 23254.0000, 27987.0000
0.0220, 0.0019, 0.0014, 58897.0000, 30971.0000, 49523.0000
0.4920, 0.1721, 0.0495, 422889.0000, 86102.0000, 326206.0000
0.5470, 0.1702, 0.0381, 885229.0000, 194133.0000, 936636.0000
0.6640, 0.3038, 0.0559, 1496286.0000, 279099.0000, 1351186.0000
0.6790, 0.1933, 0.0503, 970463.0000, 273712.0000, 1300370.0000
0.5580, 0.1346, 0.0427, 943670.0000, 203425.0000, 880426.0000
0.7970, 0.2837, 0.0727, 507465.0000, 131753.0000, 569552.0000
0.0240, 0.0038, 0.0017, 46734.0000, 25818.0000, 39253.0000
0.3590, 0.0856, 0.0192, 172622.0000, 46900.0000, 135824.0000
0.8360, 0.2202, 0.0524, 394291.0000, 101697.0000, 391772.0000
0.0490, 0.0067, 0.0008, 45308.0000, 28416.0000, 38313.0000
0.9970, 0.5712, 0.1354, 1290072.0000, 439108.0000, 2268852.0000
0.1320, 0.0240, 0.0031, 34270.0000, 24001.0000, 30649.0000
0.1300, 0.0298, 0.0088, 52669.0000, 28989.0000, 45631.0000
0.9680, 0.4519, 0.1163, 396815.0000, 194987.0000, 1052433.0000
0.0300, 0.0096, 0.0012, 26414.0000, 20779.0000, 25477.0000
0.9460, 0.3558, 0.0882, 2201575.0000, 429565.0000, 2165019.0000
0.9420, 0.3644, 0.1050, 827338.0000, 324193.0000, 1604041.0000
1.0000, 0.5558, 0.1220, 1402576.0000, 572330.0000, 2967185.0000
0.7490, 0.2808, 0.0560, 1238301.0000, 257039.0000, 1125288.0000
0.6900, 0.1750, 0.0464, 166926.0000, 57596.0000, 166781.0000
0.0020, 0.0000, 0.0000, 30162.0000, 26217.0000, 30561.0000
0.0060, 0.0000, 0.0002, 32861.0000, 25516.0000, 31726.0000
0.4100, 0.0798, 0.0159, 245671.0000, 54548.0000, 166692.0000
0.1590, 0.0144, 0.0036, 39724.0000, 27504.0000, 36077.0000
0.6620, 0.1856, 0.0446, 235819.0000, 80179.0000, 304898.0000
0.0010, 0.0000, 0.0000, 30080.0000, 26343.0000, 29840.0000
0.4400, 0.0779, 0.0201, 99514.0000, 34323.0000, 79385.0000
0.9690, 0.4865, 0.1405, 567506.0000, 245079.0000, 1155209.0000
0.0070, 0.0048, 0.0000, 35465.0000, 24279.0000, 31251.0000
0.0350, 0.0038, 0.0019, 95039.0000, 34230.0000, 81933.0000
0.0410, 0.0058, 0.0002, 62179.0000, 26390.0000, 48883.0000
0.0490, 0.0087, 0.0010, 77764.0000, 30984.0000, 57684.0000
0.2840, 0.0606, 0.0114, 347319.0000, 73491.0000, 263854.0000
0.1040, 0.0135, 0.0063, 198662.0000, 50580.0000, 136589.0000
